,day_stap,repo,,
204,2023/1/28,2220,,
205,2023/1/29,1280,,
206,2023/1/30,1730,,
207,2023/1/31,4710,,
208,2023/2/1,1550,,
209,2023/2/2,660,,
210,2023/2/3,230,,
214,2023/2/10,2030,,
211,2023/2/4,0,,
212,2023/2/5,0,,
210,2023/2/6,1500,,
211,2023/2/7,3930,,
212,2023/2/8,6410,,
213,2023/2/9,4530,,
215,2023/2/11,0,,
216,2023/2/12,0,,
217,2023/2/13,460,,
218,2023/2/14,910,,
219,2023/2/15,2030,,
220,2023/2/16,4870,,
221,2023/2/17,8350,,
222,2023/2/18,0,,
223,2023/2/19,0,,
224,2023/2/20,2700,,
225,2023/2/21,1500,,
226,2023/2/22,3000,,
227,2023/2/23,3000,,
228,2023/2/24,4700,,
229,2023/2/25,0,,
230,2023/2/26,0,,
231,2023/2/27,3360,,
232,2023/2/28,4810,,
233,2023/3/1,1070,,
234,2023/3/2,730,,
235,2023/3/3,180,,
236,2023/3/4,0,,
237,2023/3/5,0,,
238,2023/3/6,70,,
239,2023/3/7,30,,
240,2023/3/8,40,,
241,2023/3/9,30,,
242,2023/3/10,150,,
243,2023/3/11,0,,
244,2023/3/12,0,,
245,2023/3/13,410,,
246,2023/3/14,290,,
247,2023/3/15,1040,,
248,2023/3/16,1090,,
249,2023/3/17,1800,,
250,2023/3/18,0,,
251,2023/3/19,0,,
252,2023/3/20,300,,
253,2023/3/21,1820,,
254,2023/3/22,670,,
255,2023/3/23,640,,
256,2023/3/24,70,,
257,2023/3/25,0,,
258,2023/3/26,0,,
259,2023/3/27,2550,,
260,2023/3/28,2780,,
261,2023/3/29,2000,8040,1330
262,2023/3/30,2390,9790,1750
263,2023/3/31,1890,11610,1820
264,2023/4/1,0,,
265,2023/4/2,0,,
266,2023/4/3,20,9080,2530
266,2023/4/4,20,6320,2760
267,2023/4/5,0,,
267,2023/4/6,80,2010,2310
267,2023/4/7,170,290,1720
267,2023/4/8,0,,
268,2023/4/9,0,,
269,2023/4/10,180,,
270,2023/4/11,50,480,30
271,2023/4/12,70,550,70
