日期Date,收盘Close
20231130,3029.67
20231201,3031.64
20231204,3022.91
20231205,2972.3
20231206,2968.93
20231207,2966.21
20231208,2969.56
20231211,2991.44
20231212,3003.44
20231213,2968.76
20231214,2958.99
20231215,2942.56
20231218,2930.8
20231219,2932.39
20231220,2902.11
20231221,2918.71
20231222,2914.78
20231225,2918.81
20231226,2898.88
20231227,2914.61
20231228,2954.7
20231229,2974.93
20240102,2962.28
20240103,2967.25
20240104,2954.35
20240105,2929.18
20240108,2887.54
20240109,2893.25
20240110,2877.7
20240111,2886.65
20240112,2881.98
20240115,2886.29
20240116,2893.99
20240117,2833.62
20240118,2845.78
20240119,2832.28
20240122,2756.34
20240123,2770.98
20240124,2820.77
20240125,2906.11
20240126,2910.22
20240129,2883.36
20240130,2830.53
20240131,2788.55
20240201,2770.74
20240202,2730.15
20240205,2702.19
20240206,2789.49
20240207,2829.7
20240208,2865.9
20240219,2910.54
20240220,2922.73
20240221,2950.96
20240222,2988.36
20240223,3004.88
20240226,2977.02
20240227,3015.48
20240228,2957.85
20240229,3015.17
20240301,3027.02
20240304,3039.31
20240305,3047.79
20240306,3039.93
20240307,3027.4
20240308,3046.02
20240311,3068.46
20240312,3055.94
20240313,3043.83
20240314,3038.23
20240315,3054.64
20240318,3084.93
20240319,3062.76
20240320,3079.69
20240321,3077.11
20240322,3048.03
20240325,3026.31
20240326,3031.48
20240327,2993.14
20240328,3010.66
20240329,3041.17
20240401,3077.38
20240402,3074.96
20240403,3069.3
20240408,3047.05
20240409,3048.54
20240410,3027.33
20240411,3034.25
20240412,3019.47
20240415,3057.38
20240416,3007.07
20240417,3071.38
20240418,3074.22
20240419,3065.26
20240422,3044.6
20240423,3021.98
20240424,3044.82
20240425,3052.9
20240426,3088.64
20240429,3113.04
20240430,3104.82
20240506,3140.72
20240507,3147.74
20240508,3128.48
20240509,3154.32
20240510,3154.55
20240513,3148.02
20240514,3145.77
20240515,3119.9
20240516,3122.4
20240517,3154.03
20240520,3171.15
20240521,3157.97
20240522,3158.54
20240523,3116.39
20240524,3088.87
20240527,3124.04
20240528,3109.57
20240529,3111.02
20240530,3091.68
20240531,3086.81
20240603,3078.49
20240604,3091.2
20240605,3065.4
20240606,3048.79
20240607,3051.28
20240611,3028.05
20240612,3037.47
20240613,3028.92
20240614,3032.63
20240617,3015.89
20240618,3030.25
20240619,3018.05
20240620,3005.44
20240621,2998.14
20240624,2963.1
20240625,2950.0
20240626,2972.53
20240627,2945.85
20240628,2967.4
20240701,2994.73
20240702,2997.01
20240703,2982.38
20240704,2957.57
20240705,2949.93
20240708,2922.45
20240709,2959.37
20240710,2939.36
20240711,2970.39
20240712,2971.3
20240715,2974.01
20240716,2976.3
20240717,2962.85
20240718,2977.13
20240719,2982.31
20240722,2964.22
20240723,2915.37
20240724,2901.95
20240725,2886.74
20240726,2890.9
20240729,2891.85
20240730,2879.3
20240731,2938.75
20240801,2932.39
20240802,2905.34
20240805,2860.7
20240806,2867.28
20240807,2869.83
20240808,2869.9
20240809,2862.19
20240812,2858.2
20240813,2867.95
20240814,2850.65
20240815,2877.36
20240816,2879.43
20240819,2893.67
20240820,2866.66
20240821,2856.58
20240822,2848.77
20240823,2854.37
20240826,2855.52
20240827,2848.73
20240828,2837.43
20240829,2823.11
20240830,2842.21
20240902,2811.04
20240903,2802.98
20240904,2784.28
20240905,2788.31
20240906,2765.81
20240909,2736.49
20240910,2744.19
20240911,2721.8
20240912,2717.12
20240913,2704.09
20240918,2717.28
20240919,2736.02
20240920,2736.81
20240923,2748.92
20240924,2863.13
20240925,2896.31
20240926,3000.95
20240927,3087.53
20240930,3336.5
20241008,3489.78
20241009,3258.86
20241010,3301.93
20241011,3217.74
20241014,3284.32
20241015,3201.29
20241016,3202.95
20241017,3169.38
20241018,3261.56
20241021,3268.11
20241022,3285.87
20241023,3302.8
20241024,3280.26
20241025,3299.7
20241028,3322.2
20241029,3286.41
20241030,3266.24
20241031,3279.82
20241101,3272.01
20241104,3310.21
20241105,3386.99
20241106,3383.81
20241107,3470.66
20241108,3452.3
20241111,3470.07
20241112,3421.97
20241113,3439.28
20241114,3379.84
20241115,3330.73
20241118,3323.85
20241119,3346.01
20241120,3367.99
20241121,3370.4
20241122,3267.19
20241125,3263.76
20241126,3259.76
20241127,3309.78
20241128,3295.7
